Date of Occurrence,Time of Occurrence,latitude,longitude,Distance from Police Station,Station,Crime Type,DateTime,hour,day_of_week,is_night,month,year,TimeOfDay,Crime_Mischief,Crime_Wrongful Restraint and Confinement,Crime_Robbery and Dacoity,Crime_Gambling-related offenses,Crime_Offences Relating to Documents,Crime_Weights & Measures,Crime_Coin & Govt Stamps,Crime_Intimidation & Annoyance,Crime_Cheating,Crime_Theft,Crime_Marriage-related Offences,Crime_Criminal Trespass,Crime_Safety,Crime_Public Servants,Crime_Offences against the State,Crime_Public Tranquillity,Crime_Traffic violations and motor vehicle offenses,Crime_Offences Affecting Life,Crime_Kidnapping,Crime_Damage to public property,Crime_Slavery and Forced Labour,Crime_Alcohol prohibition violations,Crime_Attempts to Commit Offences,Crime_Criminal Force and Assault,Crime_Cybercrimes and digital fraud,Crime_General Exceptions,Crime_Elections & Authority,Crime_Public Health,Crime_Unknown,Crime_Police-related offenses and misconduct,Crime_General criminal offenses,Crime_False Evidence & Justice,Crime_Abduction,Crime_Drug trafficking and substance abuse,Crime_Criminal Breach of Trust,Crime_Copyright infringement and intellectual property violations,Crime_Extortion,Crime_State-specific motor vehicle violations,Crime_Public safety violations,Crime_Hurt,Crime_Of Abetment,Crime_Criminal Conspiracy,CrimeSeverity,hour_normalized,day_of_week_normalized,Distance from Police Station_normalized
06-03-2023,20:37:00,18.42319674,73.85986687,5.0,1,Cheating,2023-03-06 20:37:00,20,0,1,3,2023,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,0.7820409049311975,-1.4986928407672964,1.6490653954737038
27-06-2023,23:46:00,18.45435418,73.86827343,3.0,1,Theft,2023-06-27 23:46:00,23,1,1,6,2023,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,1.157056642625477,-0.9809879581558746,0.5115249375652409
22-06-2023,23:19:00,18.45105455,73.8719569,4.0,1,"Elections & Authority, Public Health, Safety, Offences against the State, Of Abetment, Traffic violations and motor vehicle offenses, Offences Affecting Life",2023-06-22 23:19:00,23,3,1,6,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Very High,1.157056642625477,0.05442180706696883,1.0802951665194722
01-04-2023,12:13:00,18.4300921,73.85737758,3.0,1,"Elections & Authority, Public Health, Safety, Of Abetment, Mischief",2023-04-01 12:13:00,12,5,0,4,2023,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Low,-0.21800106225354782,1.0898315722898122,0.5115249375652409
23-06-2023,20:37:00,18.44807159,73.85847396,3.0,1,"Cybercrimes and digital fraud, Cheating",2023-06-23 20:37:00,20,4,1,6,2023,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,0.7820409049311975,0.5721266896783905,0.5115249375652409
27-06-2023,23:40:00,18.44671248,73.8706043,3.0,1,"Elections & Authority, Public Health, Safety, Offences against the State, Of Abetment, Traffic violations and motor vehicle offenses",2023-06-27 23:40:00,23,1,1,6,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Very High,1.157056642625477,-0.9809879581558746,0.5115249375652409
02-04-2023,22:55:00,18.44216195,73.85939029,2.0,1,"Criminal Trespass, Theft",2023-04-02 22:55:00,22,6,1,4,2023,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,1.0320513967273839,1.607536454901234,-0.05724529138899054
27-06-2023,23:22:00,18.45612375,73.83388631,3.0,1,"Elections & Authority, Public Health, Safety, Offences against the State, Of Abetment, Traffic violations and motor vehicle offenses",2023-06-27 23:22:00,23,1,1,6,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Very High,1.157056642625477,-0.9809879581558746,0.5115249375652409
24-06-2023,01:04:00,18.45911959,73.8482947,3.0,1,"Criminal Trespass, Theft",2023-06-24 01:04:00,1,5,1,6,2023,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,-1.5930587671325727,1.0898315722898122,0.5115249375652409
29-06-2023,18:46:00,18.4546327,73.83402613,3.0,1,"Criminal Trespass, Theft",2023-06-29 18:46:00,18,3,1,6,2023,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.5320304131350112,0.05442180706696883,0.5115249375652409
