Date of Occurrence,Time of Occurrence,latitude,longitude,Distance from Police Station,Station,Crime Type,DateTime,hour,day_of_week,is_night,month,year,TimeOfDay,Crime_Mischief,Crime_Wrongful Restraint and Confinement,Crime_Robbery and Dacoity,Crime_Gambling-related offenses,Crime_Offences Relating to Documents,Crime_Weights & Measures,Crime_Coin & Govt Stamps,Crime_Intimidation & Annoyance,Crime_Cheating,Crime_Theft,Crime_Marriage-related Offences,Crime_Criminal Trespass,Crime_Safety,Crime_Public Servants,Crime_Offences against the State,Crime_Public Tranquillity,Crime_Traffic violations and motor vehicle offenses,Crime_Offences Affecting Life,Crime_Kidnapping,Crime_Damage to public property,Crime_Slavery and Forced Labour,Crime_Alcohol prohibition violations,Crime_Attempts to Commit Offences,Crime_Criminal Force and Assault,Crime_Cybercrimes and digital fraud,Crime_General Exceptions,Crime_Elections & Authority,Crime_Public Health,Crime_Unknown,Crime_Police-related offenses and misconduct,Crime_General criminal offenses,Crime_False Evidence & Justice,Crime_Abduction,Crime_Drug trafficking and substance abuse,Crime_Criminal Breach of Trust,Crime_Copyright infringement and intellectual property violations,Crime_Extortion,Crime_State-specific motor vehicle violations,Crime_Public safety violations,Crime_Hurt,Crime_Of Abetment,Crime_Criminal Conspiracy,CrimeSeverity,hour_normalized,day_of_week_normalized,Distance from Police Station_normalized
31-01-2023,22:59:00,18.468166,73.7896729,2.0,8,Theft,2023-01-31 22:59:00,22,1,1,1,2023,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,1.0320513967273839,-0.9809879581558746,-0.05724529138899054
14-03-2023,08:29:00,18.49964654,73.78941164,2.0,8,"Robbery and Dacoity, Extortion, Intimidation & Annoyance",2023-03-14 08:29:00,8,1,0,3,2023,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,High,-0.7180220458459204,-0.9809879581558746,-0.05724529138899054
16-02-2023,03:28:00,18.49151881,73.82168608,2.0,8,"Police-related offenses and misconduct, Public Tranquillity",2023-02-16 03:28:00,3,3,1,2,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Moderate,-1.3430482753363862,0.05442180706696883,-0.05724529138899054
06-02-2023,12:44:00,18.47364767,73.79531201,1.0,8,"Criminal Trespass, Theft",2023-02-06 12:44:00,12,0,0,2,2023,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Very Low,-0.21800106225354782,-1.4986928407672964,-0.6260155203432219
27-02-2023,18:46:00,18.4684036,73.79235056,1.0,8,Theft,2023-02-27 18:46:00,18,0,1,2,2023,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Very Low,0.5320304131350112,-1.4986928407672964,-0.6260155203432219
07-03-2023,02:42:00,18.48900705,73.80891612,2.0,8,Alcohol prohibition violations,2023-03-07 02:42:00,2,1,1,3,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,-1.4680535212344794,-0.9809879581558746,-0.05724529138899054
08-02-2023,22:38:00,18.48387961,73.80005803,2.0,8,"Extortion, Intimidation & Annoyance",2023-02-08 22:38:00,22,2,1,2,2023,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,High,1.0320513967273839,-0.4632830755444529,-0.05724529138899054
25-02-2023,22:28:00,18.47916152,73.80099196,2.0,8,"Kidnapping, Abduction, Slavery and Forced Labour",2023-02-25 22:28:00,22,5,1,2,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Very High,1.0320513967273839,1.0898315722898122,-0.05724529138899054
04-02-2023,23:48:00,18.47541466,73.80160624,2.0,8,Theft,2023-02-04 23:48:00,23,5,1,2,2023,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,1.157056642625477,1.0898315722898122,-0.05724529138899054
20-03-2023,02:12:00,18.47178541,73.7924526,2.0,8,"Elections & Authority, Public Tranquillity, Intimidation & Annoyance, Wrongful Restraint and Confinement, Hurt",2023-03-20 02:12:00,2,0,1,3,2023,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,High,-1.4680535212344794,-1.4986928407672964,-0.05724529138899054
01-02-2023,12:03:00,18.48649453,73.79678687,2.0,8,"Elections & Authority, Public Health, Safety, Mischief, Of Abetment, Traffic violations and motor vehicle offenses",2023-02-01 12:03:00,12,2,0,2,2023,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Low,-0.21800106225354782,-0.4632830755444529,-0.05724529138899054
09-03-2023,17:57:00,18.4782443,73.80819004,2.0,8,"Marriage-related Offences, Intimidation & Annoyance, Hurt",2023-03-09 17:57:00,17,3,0,3,2023,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,High,0.407025167236918,0.05442180706696883,-0.05724529138899054
25-02-2023,20:19:00,18.48473322,73.79502621,2.0,8,Theft,2023-02-25 20:19:00,20,5,1,2,2023,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.7820409049311975,1.0898315722898122,-0.05724529138899054
01-03-2023,15:22:00,18.47482739,73.79981201,1.0,8,Theft,2023-03-01 15:22:00,15,2,0,3,2023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Very Low,0.15701467544073167,-0.4632830755444529,-0.6260155203432219
30-06-2023,17:17:00,18.5073651,73.78377504,4.0,8,"Elections & Authority, Public Health, Safety, Mischief, Of Abetment, Damage to public property, Traffic violations and motor vehicle offenses",2023-06-30 17:17:00,17,4,0,6,2023,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Low,0.407025167236918,0.5721266896783905,1.0802951665194722
20-06-2023,11:49:00,18.49657807,73.82556048,1.0,8,"Police-related offenses and misconduct, Public Tranquillity, Intimidation & Annoyance, Offences against the State, Offences Affecting Life, Hurt",2023-06-20 11:49:00,11,1,0,6,2023,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,High,-0.34300630815164096,-0.9809879581558746,-0.6260155203432219
25-06-2023,23:36:00,18.48302498,73.79282894,3.0,8,"Criminal Trespass, Theft",2023-06-25 23:36:00,23,6,1,6,2023,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,1.157056642625477,1.607536454901234,0.5115249375652409
22-06-2023,13:52:00,18.48302498,73.79282894,3.0,8,"Elections & Authority, Public Health, Safety, Mischief, Of Abetment, Traffic violations and motor vehicle offenses",2023-06-22 13:52:00,13,3,0,6,2023,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Low,-0.09299581635545465,0.05442180706696883,0.5115249375652409
17-06-2023,20:23:00,18.47845379,73.81021276,2.0,8,Theft,2023-06-17 20:23:00,20,5,1,6,2023,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.7820409049311975,1.0898315722898122,-0.05724529138899054
30-06-2023,18:34:00,18.48460324,73.81044126,2.0,8,"Police-related offenses and misconduct, Public Tranquillity",2023-06-30 18:34:00,18,4,1,6,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Moderate,0.5320304131350112,0.5721266896783905,-0.05724529138899054
26-06-2023,05:08:00,18.46995607,73.7936139,2.0,8,"Police-related offenses and misconduct, Intimidation & Annoyance, Offences against the State, Hurt",2023-06-26 05:08:00,5,0,1,6,2023,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Very High,-1.0930377835401999,-1.4986928407672964,-0.05724529138899054
02-04-2023,19:42:00,18.48642527,73.80537675,1.0,8,"Hurt, Mischief, Intimidation & Annoyance, Public Tranquillity",2023-04-02 19:42:00,19,6,1,4,2023,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Moderate,0.6570356590331043,1.607536454901234,-0.6260155203432219
17-06-2023,13:03:00,18.4903181,73.79634766,2.0,8,Theft,2023-06-17 13:03:00,13,5,0,6,2023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,-0.09299581635545465,1.0898315722898122,-0.05724529138899054
22-06-2023,04:09:00,18.48150684,73.79309928,1.0,8,Alcohol prohibition violations,2023-06-22 04:09:00,4,3,1,6,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Very Low,-1.2180430294382931,0.05442180706696883,-0.6260155203432219
20-06-2023,23:26:00,18.49227446,73.82343886,2.0,8,Alcohol prohibition violations,2023-06-20 23:26:00,23,1,1,6,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,1.157056642625477,-0.9809879581558746,-0.05724529138899054
18-06-2023,20:19:00,18.4906326,73.81394651,2.0,8,"Elections & Authority, Hurt, Mischief, Wrongful Restraint and Confinement, Of Abetment, Traffic violations and motor vehicle offenses, Intimidation & Annoyance",2023-06-18 20:19:00,20,6,1,6,2023,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,High,0.7820409049311975,1.607536454901234,-0.05724529138899054
23-06-2023,15:18:00,18.46763502,73.85167246,1.0,8,Alcohol prohibition violations,2023-06-23 15:18:00,15,4,0,6,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Very Low,0.15701467544073167,0.5721266896783905,-0.6260155203432219
04-04-2023,22:53:00,18.49128951,73.8125282,2.0,8,Theft,2023-04-04 22:53:00,22,1,1,4,2023,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,1.0320513967273839,-0.9809879581558746,-0.05724529138899054
05-04-2023,12:59:00,18.48591449,73.79710832,3.0,8,"Elections & Authority, Offences against the State, False Evidence & Justice, Of Abetment, Traffic violations and motor vehicle offenses",2023-04-05 12:59:00,12,2,0,4,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Very High,-0.21800106225354782,-0.4632830755444529,0.5115249375652409
08-09-2023,17:16:00,18.46761441,73.78451643,3.0,8,"Elections & Authority, Public Health, Safety, Offences against the State, Of Abetment, Traffic violations and motor vehicle offenses",2023-09-08 17:16:00,17,4,0,9,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Very High,0.407025167236918,0.5721266896783905,0.5115249375652409
28-08-2023,18:38:00,18.49123225,73.8151715,5.0,8,Theft,2023-08-28 18:38:00,18,0,1,8,2023,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moderate,0.5320304131350112,-1.4986928407672964,1.6490653954737038
08-08-2023,01:13:00,18.48957352,73.81450177,2.0,8,"Elections & Authority, Public Health, Safety, Mischief, Of Abetment, Traffic violations and motor vehicle offenses",2023-08-08 01:13:00,1,1,1,8,2023,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Low,-1.5930587671325727,-0.9809879581558746,-0.05724529138899054
07-08-2023,22:27:00,18.486351,73.81486369,2.0,8,Theft,2023-08-07 22:27:00,22,0,1,8,2023,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,1.0320513967273839,-1.4986928407672964,-0.05724529138899054
04-08-2023,21:48:00,18.48461089,73.79122997,3.0,8,Alcohol prohibition violations,2023-08-04 21:48:00,21,4,1,8,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.9070461508292906,0.5721266896783905,0.5115249375652409
26-07-2023,23:34:00,18.48506818,73.79398426,2.0,8,Offences Affecting Life,2023-07-26 23:34:00,23,2,1,7,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Very High,1.157056642625477,-0.4632830755444529,-0.05724529138899054
16-07-2023,03:32:00,18.46922438,73.78669124,2.0,8,"Elections & Authority, Public Health, Safety, Offences against the State, Of Abetment, Traffic violations and motor vehicle offenses, Hurt",2023-07-16 03:32:00,3,6,1,7,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Very High,-1.3430482753363862,1.607536454901234,-0.05724529138899054
04-07-2023,00:37:00,18.46922438,73.78669124,3.0,8,Theft,2023-07-04 00:37:00,0,1,1,7,2023,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,-1.7180640130306657,-0.9809879581558746,0.5115249375652409
31-08-2023,23:28:00,18.47656073,73.79967807,3.0,8,"Wrongful Restraint and Confinement, Intimidation & Annoyance, Hurt",2023-08-31 23:28:00,23,3,1,8,2023,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,High,1.157056642625477,0.05442180706696883,0.5115249375652409
01-08-2023,15:56:00,18.48502649,73.81082527,2.0,8,Theft,2023-08-01 15:56:00,15,1,0,8,2023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.15701467544073167,-0.9809879581558746,-0.05724529138899054
13-07-2023,23:40:00,18.48985146,73.81470006,2.0,8,Alcohol prohibition violations,2023-07-13 23:40:00,23,3,1,7,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,1.157056642625477,0.05442180706696883,-0.05724529138899054
02-09-2023,02:04:00,18.50707164,73.78816936,3.0,8,"Criminal Force and Assault, Intimidation & Annoyance, Hurt",2023-09-02 02:04:00,2,5,1,9,2023,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,High,-1.4680535212344794,1.0898315722898122,0.5115249375652409
02-09-2023,22:48:00,18.50707164,73.78816936,2.0,8,"Intimidation & Annoyance, Hurt",2023-09-02 22:48:00,22,5,1,9,2023,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,High,1.0320513967273839,1.0898315722898122,-0.05724529138899054
20-12-2023,19:38:00,18.50053925,73.82221428,2.0,8,"Criminal Trespass, Theft",2023-12-20 19:38:00,19,2,1,12,2023,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.6570356590331043,-0.4632830755444529,-0.05724529138899054
01-10-2023,13:40:00,18.50714339,73.80238973,4.0,8,"Police-related offenses and misconduct, Intimidation & Annoyance, Offences against the State, Hurt",2023-10-01 13:40:00,13,6,0,10,2023,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Very High,-0.09299581635545465,1.607536454901234,1.0802951665194722
09-12-2023,19:31:00,18.47438896,73.79417538,3.0,8,Theft,2023-12-09 19:31:00,19,5,1,12,2023,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.6570356590331043,1.0898315722898122,0.5115249375652409
09-10-2023,09:10:00,18.48363559,73.801586,2.0,8,"Elections & Authority, Public Health, Safety, Of Abetment, Traffic violations and motor vehicle offenses, Hurt",2023-10-09 09:10:00,9,0,0,10,2023,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,High,-0.5930167999478273,-1.4986928407672964,-0.05724529138899054
24-12-2023,03:02:00,18.48034071,73.80871261,2.0,8,"Criminal Trespass, Theft",2023-12-24 03:02:00,3,6,1,12,2023,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,-1.3430482753363862,1.607536454901234,-0.05724529138899054
11-10-2023,19:12:00,18.50102418,73.79077186,2.0,8,"Mischief, Theft",2023-10-11 19:12:00,19,2,1,10,2023,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.6570356590331043,-0.4632830755444529,-0.05724529138899054
03-10-2023,23:55:00,18.49392959,73.81769167,2.0,8,"Elections & Authority, Criminal Conspiracy, Police-related offenses and misconduct, Traffic violations and motor vehicle offenses",2023-10-03 23:55:00,23,1,1,10,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Low,1.157056642625477,-0.9809879581558746,-0.05724529138899054
07-12-2023,08:57:00,18.48853193,73.79044823,2.0,8,"Criminal Trespass, Intimidation & Annoyance",2023-12-07 08:57:00,8,3,0,12,2023,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,-0.7180220458459204,0.05442180706696883,-0.05724529138899054
03-11-2023,00:46:00,18.48638748,73.81193506,2.0,8,"Elections & Authority, Public Health, Safety, Offences against the State, Mischief, Of Abetment, Traffic violations and motor vehicle offenses, Hurt",2023-11-03 00:46:00,0,4,1,11,2023,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Very High,-1.7180640130306657,0.5721266896783905,-0.05724529138899054
08-11-2023,20:14:00,18.48378913,73.79369559,2.0,8,Criminal Trespass,2023-11-08 20:14:00,20,2,1,11,2023,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.7820409049311975,-0.4632830755444529,-0.05724529138899054
13-12-2023,20:44:00,18.48290301,73.81051283,2.0,8,Theft,2023-12-13 20:44:00,20,2,1,12,2023,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.7820409049311975,-0.4632830755444529,-0.05724529138899054
21-11-2023,02:04:00,18.46915454,73.78645082,2.0,8,"Police-related offenses and misconduct, Hurt, Robbery and Dacoity, Criminal Force and Assault, Intimidation & Annoyance",2023-11-21 02:04:00,2,1,1,11,2023,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,High,-1.4680535212344794,-0.9809879581558746,-0.05724529138899054
20-11-2023,09:08:00,18.49862111,73.83238181,2.0,8,"Police-related offenses and misconduct, Hurt, Mischief, Robbery and Dacoity, Intimidation & Annoyance",2023-11-20 09:08:00,9,0,0,11,2023,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,High,-0.5930167999478273,-1.4986928407672964,-0.05724529138899054
23-10-2023,20:38:00,18.49862111,73.83238181,2.0,8,Theft,2023-10-23 20:38:00,20,0,1,10,2023,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.7820409049311975,-1.4986928407672964,-0.05724529138899054
04-03-2024,12:38:00,18.44172537,73.838845,4.0,1,"Elections & Authority, Mischief, Traffic violations and motor vehicle offenses, Of Abetment, Public Health, Safety",2024-03-04 12:38:00,12,0,0,3,2024,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Low,-0.21800106225354782,-1.4986928407672964,1.0802951665194722
21-03-2024,20:20:00,18.46792435,73.85887055,2.0,1,Theft,2024-03-21 20:20:00,20,3,1,3,2024,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.7820409049311975,0.05442180706696883,-0.05724529138899054
21-03-2024,03:56:00,18.4559099,73.85702134,3.0,1,"Criminal Conspiracy, False Evidence & Justice, Traffic violations and motor vehicle offenses",2024-03-21 03:56:00,3,3,1,3,2024,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Moderate,-1.3430482753363862,0.05442180706696883,0.5115249375652409
18-03-2024,03:56:00,18.45720572,73.83907244,4.0,1,"Public Health, Safety",2024-03-18 03:56:00,3,0,1,3,2024,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,-1.3430482753363862,-1.4986928407672964,1.0802951665194722
14-03-2024,22:51:00,18.4521458,73.84432888,4.0,1,Theft,2024-03-14 22:51:00,22,3,1,3,2024,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,1.0320513967273839,0.05442180706696883,1.0802951665194722
28-03-2024,06:07:00,18.42409502,73.8594811,3.0,1,Robbery and Dacoity,2024-03-28 06:07:00,6,3,0,3,2024,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,-0.9680325376421067,0.05442180706696883,0.5115249375652409
31-03-2024,01:25:00,18.44628492,73.86331268,1.0,1,"Offences against the State, Police-related offenses and misconduct",2024-03-31 01:25:00,1,6,1,3,2024,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,High,-1.5930587671325727,1.607536454901234,-0.6260155203432219
15-03-2024,14:22:00,18.45704557,73.85117643,3.0,1,"Kidnapping, Abduction, Slavery and Forced Labour",2024-03-15 14:22:00,14,4,0,3,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Very High,0.03200942954263851,0.5721266896783905,0.5115249375652409
25-02-2024,03:19:00,18.40062567,73.84984815,5.0,1,"Elections & Authority, Mischief, Traffic violations and motor vehicle offenses, Of Abetment, Public Health, Safety",2024-02-25 03:19:00,3,6,1,2,2024,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Moderate,-1.3430482753363862,1.607536454901234,1.6490653954737038
22-02-2024,23:15:00,18.45751156,73.86292386,2.0,1,"Criminal Breach of Trust, Cheating",2024-02-22 23:15:00,23,3,1,2,2024,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Low,1.157056642625477,0.05442180706696883,-0.05724529138899054
29-02-2024,18:56:00,18.43642975,73.86772912,3.0,1,Theft,2024-02-29 18:56:00,18,3,1,2,2024,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.5320304131350112,0.05442180706696883,0.5115249375652409
